ref,estado,status,bt,preco,precoAnterior,tipo,tipologia,concelho,freguesia,consultor,contrato,idade,dias,modificado
121161139-276,Em mercado,1,1,1250000,1050000,Prédio,,Lisboa,Alcântara,Nelson Timóteo,2024-11-22,633,615,2026-07-30
121161139-278,Em mercado,1,1,700000,625000,Moradia,T6,Sintra,Rio de Mouro,Nelson Timóteo,2025-01-06,588,570,2026-07-30
121161139-286,Em mercado,1,1,445000,430000,Moradia,T5,Seixal,Amora,Nelson Timóteo,2025-03-10,525,479,2026-04-22
121161139-298,Em mercado,1,1,575000,,Moradia,T4,Mafra,Santo Isidoro,Nelson Timóteo,2025-06-06,437,391,2026-06-08
121161139-302,Em mercado,1,1,225000,215000,Apartamento,T2,Vila Franca de Xira,Vila Franca de Xira,Nelson Timóteo,2025-06-26,417,410,2026-08-10
121161139-309,Em mercado,1,1,475000,455000,Apartamento,T5,Alcochete,São Francisco,Nelson Timóteo,2025-09-03,348,302,2026-03-17
121161139-320,Em mercado,1,1,345000,330000,Apartamento,T2,Almada,"Almada, Cova da Piedade, Pragal e Cacilhas",Nelson Timóteo,2025-10-01,320,282,2026-07-10
121161139-324,Em mercado,1,1,346000,326000,Apartamento,T4,Moita,Gaio-Rosário e Sarilhos Pequenos,Nelson Timóteo,2025-11-08,282,261,2026-07-30
121161139-328,Em mercado,1,1,250000,,Loja,,Moita,Gaio-Rosário e Sarilhos Pequenos,Nelson Timóteo,2025-12-15,245,227,2026-07-30
121161139-336,Em mercado,1,1,230000,220000,Moradia,T2,Vila Franca de Xira,Vialonga,Nelson Timóteo,2026-01-22,207,161,2026-03-18
121161139-339,Em mercado,1,1,275000,,Apartamento,T3,Alenquer,Carregado e Cadafais,Nelson Timóteo,2026-03-04,166,120,2026-03-12
121161139-341,Em mercado,1,1,455000,435000,Prédio,,Arruda dos Vinhos,Arruda dos Vinhos,Nelson Timóteo,2026-03-13,157,119,2026-07-10
121161139-342,Em mercado,1,1,345000,335000,Apartamento,T2,Almada,Laranjeiro e Feijó,Nelson Timóteo,2026-03-13,157,119,2026-07-10
121161139-343,Em mercado,1,1,399000,,Apartamento,T2,Vila Franca de Xira,Vila Franca de Xira,Nelson Timóteo,2026-03-13,157,111,2026-03-17
121161139-349,Em mercado,1,1,329500,,Apartamento,T2,Lisboa,Santa Clara,Nelson Timóteo,2026-05-08,101,55,2026-05-08
121161139-350,Em mercado,1,1,315000,285000,Escritório,,Almada,Laranjeiro e Feijó,Nelson Timóteo,2026-05-25,84,38,2026-06-15
121161139-351,Em mercado,1,1,199000,,Trespasse,,Sintra,Cacém e São Marcos,Nelson Timóteo,2026-06-11,67,22,2026-07-02
121161139-353,Reservado,2,2,620,,Loja,,Odivelas,Ramada e Caneças,Nelson Timóteo,2026-06-24,54,51,2026-08-14
121161139-354,Em mercado,1,1,104000,,Loja,,Odivelas,Ramada e Caneças,Nelson Timóteo,2026-06-24,54,9,2026-06-24
121161139-356,Em mercado,1,2,1150,,Armazém,,Loures,"Camarate, Unhos e Apelação",Nelson Timóteo,2026-06-25,53,32,2026-07-27
